title,price,rating,reviews,availability
PlayStation 4 Slim 1TB Console,,4.2 out of 5 stars,328 ratings,Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,,4.6 out of 5 stars,"138,259 ratings",Not Available
"OIVO PS4 Stand with PS4 Cooling Fan Cooler for PlayStation 4/PS4 Slim/PS4 Pro, PS4 Pro Vertical Stand with PS4 Controller Charger Dock Station and 12 Game Slots",,4.5 out of 5 stars,"46,639 ratings",Not Available
Sony PlayStation 4 Dual Player Gaming Bundle (Renewed),,3.5 out of 5 stars,3 ratings,Not Available
"PS4 Controller Charger Dock Station with Charging Cable,1.8Hrs Fast Charge PS4 Remote Charging Station, Replacement for PlayStation 4 Controller Charger",,4.7 out of 5 stars,"3,809 ratings",Not Available
PS4 Slim 500GB Console + Controller,,4.3 out of 5 stars,"1,938 ratings",Not Available
Sony Playstation PS4 1TB Black Console,,4.6 out of 5 stars,"1,669 ratings",Not Available
PlayStation 4 Slim 500GB Console [Discontinued] (Renewed),,4.5 out of 5 stars,"3,152 ratings",Not Available
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.7 out of 5 stars,399 ratings,Not Available
New Sony PlayStation 4 Pro 1TB Red Dead Redemption 2 Console Bundle with HDR Technology for 4K TV Gaming - Jet Black,,3.8 out of 5 stars,98 ratings,Not Available
PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,,4.4 out of 5 stars,170 ratings,Not Available
"BRENDEZ Replacement Set of Cables,- HDMI Cable with Ethernet Male to Male + USB Cable + Power Cord Compatible with Sony PlayStation 4 Pro and PlayStation 4 PS4 Gaming Console. (10-FEET)",,4.7 out of 5 stars,66 ratings,Not Available
PlayStation 4 Slim 1TB Console,,4.6 out of 5 stars,"15,834 ratings",Not Available
"Flagship Play Station 4 1TB HDD Only on Playstation PS4 Console Slim Bundle with Three Games: The Last of Us, God of War, Horizon Zero Dawn 1TB HDD Dualshock 4 Wireless Controller -Jet Black",,4.5 out of 5 stars,214 ratings,Not Available
PlayStation 4,,4.6 out of 5 stars,"13,711 ratings",Not Available
PlayStation 4 Slim 500GB Console - Uncharted 4 Bundle Discontinued,,4.7 out of 5 stars,"6,526 ratings",Not Available
Sony PlayStation 4 500GB Console - Black,,4.3 out of 5 stars,"3,212 ratings",Only 2 left in stock - order soon.
"Gaming Headset, Gaming Headphones with 90° Swivel and 4 RGB Lighting Modes, 50mm Drives, Premium Stereo Microphone, Compatible for Ps4 Ps5 Xbox one PC Switch",,4.4 out of 5 stars,"1,337 ratings",Not Available
"VK81 2.4GHz Wireless Gaming Headset for PS5, PS4, PC - Bluetooth Gaming Headphones with Noise Canceling Mic, Low Latency, Stereo Sound, 50+Hr Battery, RGB Headset for Nintendo Switch, Black",,4.9 out of 5 stars,436 ratings,In Stock
"OXS Storm G2 Wireless Gaming Headsets, 7.1 Virtual Surround Sound, 3 EQ Modes, 2.4G Low Latency, 50mm Driver, 40H Playtime, RGB Light, Bluetooth 5.3, Compatible with PC, Console, Mobile, White",,4.0 out of 5 stars,116 ratings,Not Available
"Gaming Headset for PS4, Xbox One, PC, PS5, Laptop, Mac, for Nintendo Switch, 3.5MM Noise Cancelling Over Ear Headphones with Mic, Bass Surround, Soft Memory Earmuffs Green",,4.4 out of 5 stars,"2,732 ratings",Not Available
"Wireless Gaming Headset for PC, PS5, PS4, Mac, Switch, 2.4GHz USB Dongle Wireless Gaming Headphones with Microphone, Bluetooth 5.4, 50mm Driver, Stereo Sound, Cool Lighting, 50H Battery",,4.3 out of 5 stars,505 ratings,Not Available
